2026-05-10 13:43:25,616 | INFO     | scraper |     ✅ NEW TG: Job Title: **Supervisor for a supermarket**
2026-05-10 13:43:25,635 | INFO     | scraper |     ✅ NEW TG: Job Title: **Senior Laboratory Technician**
2026-05-10 13:43:25,652 | INFO     | scraper |     ✅ NEW TG: Job Title: **Freshman Course Instructors(Teachers)**
2026-05-10 13:43:25,668 | INFO     | scraper |     ✅ NEW TG: Job Title: **waitress & Cashier**
2026-05-10 13:43:25,684 | INFO     | scraper |     ✅ NEW TG: Job Title: **sales Agent**
2026-05-10 13:43:25,700 | INFO     | scraper |     ✅ NEW TG: Job Title: **Customer acquisition agents**
2026-05-10 13:43:25,713 | INFO     | scraper |     ✅ NEW TG: Job Title: **outdoor sales**
2026-05-10 13:43:25,730 | INFO     | scraper |     ✅ NEW TG: Job Title: **Front Desk Coordinator / Receptionist**
2026-05-10 13:43:25,752 | INFO     | scraper |     ✅ NEW TG: Job Title: **Social Media Manager**
2026-05-10 13:43:25,770 | INFO     | scraper |     ✅ NEW TG: Job Title: **Senior Graphics Designer**
2026-05-10 13:43:25,787 | INFO     | scraper |     ✅ NEW TG: Job Title: **Videographer & Video Editor**
2026-05-10 13:43:25,805 | INFO     | scraper |     ✅ NEW TG: Job Title: **Content Creator / Copywriter**
2026-05-10 13:43:25,823 | INFO     | scraper |     ✅ NEW TG: Job Title: **Sales Representative**
2026-05-10 13:43:25,838 | INFO     | scraper |     ✅ NEW TG: Job Title: **Senior Sales Driver (FMCG)**
2026-05-10 13:43:25,850 | INFO     | scraper |     ✅ NEW TG: Job Title: **Shop and Tiktok live sales**
2026-05-10 13:43:25,867 | INFO     | scraper |     ✅ NEW TG: Job Title: **Driver**
2026-05-10 13:43:25,884 | INFO     | scraper |     ✅ NEW TG: Job Title: **Receiptionist**
2026-05-10 13:43:25,902 | INFO     | scraper |     ✅ NEW TG: Job Title: **Junior Software Engineer**
2026-05-10 13:43:25,916 | INFO     | scraper |     ✅ NEW TG: Job Title: **Human Resources Officer**
2026-05-10 13:43:25,934 | INFO     | scraper |     ✅ NEW TG: Job Title: **Daycare Nanny**
2026-05-10 13:43:25,956 | INFO     | scraper |     ✅ NEW TG: Job Title: **Junior Assistant**
2026-05-10 13:43:25,974 | INFO     | scraper |     ✅ NEW TG: Job Title: **Cashier**
2026-05-10 13:43:25,990 | INFO     | scraper |     ✅ NEW TG: Job Title: **የሞተር ብስክሌት ማድረስ አጋር (በራሳቸው ሞተር ለሚሰሩ)**
2026-05-10 13:43:26,008 | INFO     | scraper |     ✅ NEW TG: Job Title: **የሞተር ብስክሌት አሽከርካሪዎች (የድርጅት ሞተር)**
2026-05-10 13:43:26,026 | INFO     | scraper |     ✅ NEW TG: ለHR እና Business Owners ልዩ ዝግጅት እያዘጋጀን ነው! 🎬🇪🇹
2026-05-10 13:43:26,029 | INFO     | telethon.network.mtprotosender | Disconnecting from 149.154.167.91:443/TcpFull...
2026-05-10 13:43:26,031 | INFO     | telethon.network.mtprotosender | Disconnection from 149.154.167.91:443/TcpFull complete!
2026-05-10 13:43:26,041 | INFO     | scraper |   TG done — New: 30 | Dup: 0
2026-05-10 13:43:26,042 | INFO     | scraper | ============================================================
2026-05-10 13:43:26,042 | INFO     | scraper | ✅ Cycle done | Web new: 100 | TG new: 30 | Dup: 170
2026-05-10 13:43:26,042 | INFO     | scraper | ============================================================
2026-05-10 13:43:31,451 | INFO     | scraper |     54 cards found
2026-05-10 13:43:31,559 | INFO     | scraper |     ✅ NEW  : Senior Special Advisor for Grant Finance Management
2026-05-10 13:43:31,616 | INFO     | scraper |     ✅ NEW  : Personnel Officer
2026-05-10 13:43:34,025 | INFO     | scraper |   Web done — New: 2 | Dup: 268
2026-05-10 13:43:34,498 | INFO     | telethon.crypto.libssl | Failed to load SSL library: <class 'OSError'> (no library called "ssl" found)
2026-05-10 13:43:34,500 | INFO     | telethon.crypto.aes | cryptg module not installed and libssl not found, falling back to (slower) Python encryption
2026-05-10 13:43:34,734 | INFO     | telethon.network.mtprotosender | Connecting to 149.154.167.91:443/TcpFull...
2026-05-10 13:43:34,873 | INFO     | telethon.network.mtprotosender | Connection to 149.154.167.91:443/TcpFull complete!
2026-05-10 13:43:35,981 | INFO     | scraper |   [TG] Scanning @freelance_ethio (last 30 msgs)…
2026-05-10 13:43:36,366 | INFO     | telethon.network.mtprotosender | Disconnecting from 149.154.167.91:443/TcpFull...
2026-05-10 13:43:36,369 | INFO     | telethon.network.mtprotosender | Disconnection from 149.154.167.91:443/TcpFull complete!
2026-05-10 13:43:36,380 | INFO     | scraper |   TG done — New: 0 | Dup: 30
2026-05-10 13:43:36,380 | INFO     | scraper | ============================================================
2026-05-10 13:43:36,380 | INFO     | scraper | ✅ Cycle done | Web new: 2 | TG new: 0 | Dup: 298
2026-05-10 13:43:36,382 | INFO     | scraper | ============================================================
2026-05-10 14:30:44,853 | INFO     | scraper | 🔂 Single-run mode (--once)
2026-05-10 14:30:44,857 | INFO     | scraper | ============================================================
2026-05-10 14:30:44,857 | INFO     | scraper | 🕷  Combined scrape cycle started
2026-05-10 14:30:44,858 | INFO     | scraper | ============================================================
2026-05-10 14:30:44,859 | INFO     | scraper | 🌐 Web scrape: pages 1–5
2026-05-10 14:30:44,859 | INFO     | scraper |   📄 Page 1/5
2026-05-10 14:30:46,000 | INFO     | scraper |   [WEB] → https://www.hahu.jobs/jobs?min_yoe=0&max_yoe=100&page=1
2026-05-10 14:30:56,906 | INFO     | scraper |     54 cards found
2026-05-10 14:30:59,470 | INFO     | scraper |   📄 Page 2/5
2026-05-10 14:31:00,495 | INFO     | scraper |   [WEB] → https://www.hahu.jobs/jobs?min_yoe=0&max_yoe=100&page=2
2026-05-10 14:31:11,412 | INFO     | scraper |     54 cards found
2026-05-10 14:31:13,965 | INFO     | scraper |   📄 Page 3/5
2026-05-10 14:31:14,925 | INFO     | scraper |   [WEB] → https://www.hahu.jobs/jobs?min_yoe=0&max_yoe=100&page=3
2026-05-10 14:31:27,668 | INFO     | scraper |     54 cards found
2026-05-10 14:31:30,368 | INFO     | scraper |   📄 Page 4/5
2026-05-10 14:31:31,421 | INFO     | scraper |   [WEB] → https://www.hahu.jobs/jobs?min_yoe=0&max_yoe=100&page=4
2026-05-10 14:31:51,400 | INFO     | scraper |     54 cards found
2026-05-10 14:31:51,523 | INFO     | scraper |     ✅ NEW  : Senior Mechanical Technician
2026-05-10 14:31:51,549 | INFO     | scraper |     ✅ NEW  : Store Keeper
2026-05-10 14:31:51,576 | INFO     | scraper |     ✅ NEW  : Project Officer- Strengthening Social Structures (Children's in Street Situation Project, Dessie)
2026-05-10 14:31:54,131 | INFO     | scraper |   📄 Page 5/5
2026-05-10 14:31:55,176 | INFO     | scraper |   [WEB] → https://www.hahu.jobs/jobs?min_yoe=0&max_yoe=100&page=5
2026-05-10 14:32:06,383 | INFO     | scraper |     54 cards found
2026-05-10 14:32:06,451 | INFO     | scraper |     ✅ NEW  : Senior EMR Coordinator
2026-05-10 14:32:06,470 | INFO     | scraper |     ✅ NEW  : LAF officer
2026-05-10 14:32:06,559 | INFO     | scraper |     ✅ NEW  : Tourism Market Analyst IV
